Results of plant growth simulation: 


                Accum
       Number    Temp                                    Leaf
  Day      of  during   Plant  Canopy    Root   Fruit    Area
   46    6.34    0.00  186.81  158.79   28.02    0.00    0.76
   47    6.44    0.00  199.44  169.53   29.92    0.00    0.79
   48    6.54    0.00  211.60  179.86   31.74    0.00    0.82
   49    6.64    0.00  220.98  187.83   33.15    0.00    0.85
   50    6.74    0.00  232.03  197.23   34.80    0.00    0.88
   51    6.84    0.00  242.78  206.36   36.42    0.00    0.90
   52    6.94    0.00  253.27  215.28   37.99    0.00    0.93
   53    7.04    0.00  263.66  224.11   39.55    0.00    0.95
   54    7.14    0.00  272.67  231.77   40.90    0.00    0.98
   55    7.24    0.00  279.84  237.86   41.98    0.00    1.00
   56    7.33    0.00  285.82  242.95   42.87    0.00    1.02
   57    7.43    0.00  291.50  247.77   43.72    0.00    1.04
   58    7.53    0.00  299.05  254.19   44.86    0.00    1.06
   59    7.63    0.00  305.17  259.40   45.78    0.00    1.08
   60    7.73    0.00  308.38  262.12   46.26    0.00    1.10
   61    7.83    0.00  312.46  265.59   46.87    0.00    1.12
   62    7.93    0.00  316.85  269.32   47.53    0.00    1.15
   63    8.02    0.00  318.81  270.99   47.82    0.00    1.17
   64    8.12    0.00  330.63  281.03   49.59    0.00    1.21
   65    8.22    0.00  348.31  296.06   52.25    0.00    1.26
   66    8.32    0.00  364.66  309.96   54.70    0.00    1.30
   67    8.42    0.00  383.61  326.07   57.54    0.00    1.35
   68    8.51    0.00  394.15  335.03   59.12    0.00    1.39
   69    8.61    0.00  412.72  350.81   61.91    0.00    1.44
   70    8.71    0.00  431.66  366.91   64.75    0.00    1.48
   71    8.81    0.00  443.26  376.78   66.49    0.00    1.53
   72    8.91    0.00  448.48  381.21   67.27    0.00    1.57
   73    9.00    0.00  461.41  392.20   69.21    0.00    1.61
   74    9.10    0.00  478.48  406.71   71.77    0.00    1.66
   75    9.19    0.00  485.38  412.57   72.81    0.00    1.70
   76    9.29    0.00  501.89  426.61   75.28    0.00    1.75
   77    9.39    0.00  521.82  443.55   78.27    0.00    1.80
   78    9.49    0.00  541.14  459.97   81.17    0.00    1.84
   79    9.59    0.00  562.54  478.16   84.38    0.00    1.89
   80    9.69    0.00  584.04  496.44   87.61    0.00    1.94
   81    9.79    0.00  608.80  517.48   91.32    0.00    1.99
   82    9.89    0.00  628.42  534.16   94.26    0.00    2.03
   83    9.99    0.00  648.98  551.63   97.35    0.00    2.08
   84   10.09    0.00  662.49  563.11   99.37    0.00    2.12
   85   10.18    0.00  672.36  571.51  100.85    0.00    2.16
   86   10.28    0.00  690.26  586.72  103.54    0.00    2.20
   87   10.38    0.00  710.39  603.83  106.56    0.00    2.24
   88   10.48    0.00  729.99  620.49  109.50    0.00    2.28
   89   10.58    0.00  748.82  636.49  112.32    0.00    2.32
   90   10.68    0.00  767.11  652.04  115.07    0.00    2.35
   91   10.78    0.00  778.91  662.08  116.84    0.00    2.39
   92   10.88    0.00  791.17  672.49  118.68    0.00    2.42
   93   10.97    0.00  806.81  685.79  121.02    0.00    2.45
   94   11.07    0.00  821.16  697.98  123.17    0.00    2.48
   95   11.17    0.00  835.72  710.36  125.36    0.00    2.51
   96   11.26    0.00  849.07  721.71  127.36    0.00    2.54
   97   11.36    0.00  859.95  730.95  128.99    0.00    2.56
   98   11.45    0.00  871.66  740.91  130.75    0.00    2.58
   99   11.55    0.00  880.47  748.40  132.07    0.00    2.60
  100   11.65    0.00  900.95  765.81  135.14    0.00    2.65
  101   11.74    0.00  919.92  781.93  137.99    0.00    2.68
  102   11.84    0.00  939.68  798.73  140.95    0.00    2.72
  103   11.94    0.00  957.73  814.07  143.66    0.00    2.76
  104   12.04    0.00  978.73  831.92  146.81    0.00    2.81
  105   12.04    6.95  986.12  831.92  146.81    7.39    2.78
  106   12.04   15.55 1011.50  831.92  146.81   32.77    2.74
  107   12.04   25.05 1034.73  831.92  146.81   56.00    2.70
  108   12.04   34.60 1057.72  831.92  146.81   78.99    2.66
  109   12.04   45.15 1082.62  831.92  146.81  103.90    2.62
  110   12.04   55.75 1105.90  831.92  146.81  127.17    2.57
  111   12.04   66.40 1120.14  831.92  146.81  141.42    2.53
  112   12.04   78.70 1135.42  831.92  146.81  156.70    2.48
  113   12.04   90.55 1152.43  831.92  146.81  173.70    2.43
  114   12.04  101.70 1162.20  831.92  146.81  183.47    2.38
  115   12.04  113.80 1176.64  831.92  146.81  197.91    2.33
  116   12.04  126.30 1197.52  831.92  146.81  218.79    2.28
  117   12.04  138.15 1208.42  831.92  146.81  229.70    2.23
  118   12.04  145.65 1224.02  831.92  146.81  245.29    2.19
  119   12.04  152.50 1239.99  831.92  146.81  261.26    2.17
  120   12.04  160.35 1260.28  831.92  146.81  281.56    2.13
  121   12.04  168.90 1277.09  831.92  146.81  298.36    2.10
  122   12.04  178.90 1291.24  831.92  146.81  312.52    2.06
  123   12.04  187.55 1298.16  831.92  146.81  319.43    2.02
  124   12.04  198.55 1314.31  831.92  146.81  335.58    1.97
  125   12.04  208.40 1332.44  831.92  146.81  353.71    1.93
  126   12.04  217.95 1349.49  831.92  146.81  370.76    1.89
  127   12.04  227.60 1361.90  831.92  146.81  383.18    1.85
  128   12.04  237.30 1380.37  831.92  146.81  401.64    1.81
  129   12.04  245.95 1387.18  831.92  146.81  408.45    1.77
  130   12.04  255.70 1396.62  831.92  146.81  417.89    1.73
  131   12.04  266.25 1412.50  831.92  146.81  433.77    1.69
  132   12.04  278.15 1428.06  831.92  146.81  449.33    1.64
  133   12.04  290.05 1446.29  831.92  146.81  467.56    1.59
  134   12.04  301.70 1454.45  831.92  146.81  475.73    1.54
